ablation axis,variant,scene,budget,PSNR,dPSNR vs reference (CI),dLPIPS vs reference (CI),reference row,eval row
importance family,evidence importance vs random (both +FT),toy_parking,B25,29.766,"+3.405 [+2.383,+4.412]","-0.1337 [-0.1518,-0.1185]",toy_parking_B25_random_ft_e1b,toy_parking_B25_importance_ft_e1v2
importance family,evidence importance vs random (both +FT),courtyard,B50,17.566,"+0.130 [-0.551,+0.640]","-0.0408 [-0.0585,-0.0287]",courtyard_B50_random_ft_e1b,courtyard_B50_ft_v4
"importance definition (E6, GOAL#012)",max_blending_max vs pixels_total,garden,B50,24.853,"+0.003 [+0.000,+0.005]","+0.0001 [+0.0000,+0.0001]",garden_B50_importance_ft_e1v2,garden_B50_importance_ft_abl_blend
"importance definition (E6, GOAL#012)",ckpt_importance_score vs pixels_total,garden,B50,24.849,"-0.002 [-0.006,+0.001]","+0.0001 [+0.0000,+0.0002]",garden_B50_importance_ft_e1v2,garden_B50_importance_ft_abl_ckptimp
"importance definition (E6, GOAL#012)",max_blending_max vs pixels_total,kitchen,B50,27.449,"-0.000 [-0.006,+0.004]","-0.0001 [-0.0001,-0.0000]",kitchen_B50_importance_ft_s2,kitchen_B50_importance_ft_abl_blend
"importance definition (E6, GOAL#012)",ckpt_importance_score vs pixels_total,kitchen,B50,27.437,"-0.012 [-0.021,-0.004]","+0.0001 [-0.0000,+0.0004]",kitchen_B50_importance_ft_s2,kitchen_B50_importance_ft_abl_ckptimp
"importance definition (E6, GOAL#012)",max_blending_max vs pixels_total,ss3dm_town01,B50,22.634,"-0.000 [-0.000,+0.000]","-0.0000 [-0.0000,+0.0000]",ss3dm_town01_B50_geo_v1,ss3dm_town01_B50_importance_ft_abl_blend
"importance definition (E6, GOAL#012)",ckpt_importance_score vs pixels_total,ss3dm_town01,B50,22.582,"-0.052 [-0.121,-0.001]","-0.0001 [-0.0002,+0.0000]",ss3dm_town01_B50_geo_v1,ss3dm_town01_B50_importance_ft_abl_ckptimp
checkpoint sourcing,26k-sourced prune+FT vs 30k-sourced (e26src),garden,B50,24.831,"-0.020 [-0.030,-0.010]","+0.0016 [+0.0012,+0.0021]",garden_B50_importance_ft_e1v2,garden_B50_importance_ft_e26src
"teacher distillation (E3, DEMOTED diagnostic)",density 1x,garden,B50,24.919,"+0.039 [+0.016,+0.062]","-0.0015 [-0.0018,-0.0011]",e3_garden_B50_control_v1,e3_garden_B50_distill_v1
"teacher distillation (E3, DEMOTED diagnostic)",density 1x,toy_parking,B50,30.449,"+0.115 [+0.053,+0.191]","+0.0001 [-0.0012,+0.0015]",e3_toy_B50_control_v1,e3_toy_B50_distill_v1
"teacher distillation (E3, DEMOTED diagnostic)",density 3x (control: e3 same-length),garden,B50,24.931,"+0.051 [+0.028,+0.074]","-0.0018 [-0.0021,-0.0014]",e3_garden_B50_control_v1,e3v1_garden_B50_distill_v1
"teacher distillation (E3, DEMOTED diagnostic)",density 3x (control: e3 same-length),toy_parking,B50,30.466,"+0.133 [+0.053,+0.231]","+0.0011 [-0.0008,+0.0036]",e3_toy_B50_control_v1,e3v1_toy_parking_B50_distill_v1
"teacher distillation (E3, DEMOTED diagnostic)",density 3x + SH rest-lr 1.0,garden,B50,24.880,"+0.125 [+0.076,+0.173]","-0.0022 [-0.0034,-0.0011]",e3v2_garden_B50_control_v1,e3v2_garden_B50_distill_v1
"teacher distillation (E3, DEMOTED diagnostic)",density 3x + SH rest-lr 1.0,toy_parking,B50,29.959,"+0.026 [-0.146,+0.187]","+0.0059 [-0.0111,+0.0208]",e3v2_toy_B50_control_v1,e3v2_toy_B50_distill_v1
"geometry mechanism (E2 family, all FAIL/bounded)",free-space+depth losses (m3/E2 a1),toy_parking,B50,30.126,"-0.245 [-0.427,-0.093]","+0.0112 [+0.0081,+0.0146]",toy_parking_B50_importance_ft_e1v2,m3_e2_toy_parking_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",gradient-routed losses (m3v1/E2 v1),toy_parking,B50,29.158,"-1.212 [-1.747,-0.707]","+0.0474 [+0.0408,+0.0538]",toy_parking_B50_importance_ft_e1v2,m3v1_toy_parking_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",evidence floater deletion (e2v3),toy_parking,B50,29.858,"-0.513 [-1.424,-0.035]","+0.0047 [+0.0023,+0.0077]",toy_parking_B50_importance_ft_e1v2,e2v3_toy_parking_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",opacity release + fade-prune (e2r),toy_parking,B50,29.988,"-0.383 [-0.586,-0.201]","+0.0060 [+0.0043,+0.0079]",toy_parking_B50_importance_ft_e1v2,e2r_toy_parking_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",free-space+depth losses (m3/E2 a1),courtyard,B50,17.511,"-0.056 [-0.243,+0.160]","+0.0209 [+0.0109,+0.0310]",courtyard_B50_ft_v4,m3_e2_courtyard_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",gradient-routed losses (m3v1/E2 v1),courtyard,B50,16.815,"-0.752 [-1.318,-0.238]","+0.0924 [+0.0683,+0.1167]",courtyard_B50_ft_v4,m3v1_courtyard_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",evidence floater deletion (e2v3),courtyard,B50,17.331,"-0.235 [-0.396,-0.110]","+0.0018 [-0.0007,+0.0038]",courtyard_B50_ft_v4,e2v3_courtyard_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)",opacity release + fade-prune (e2r),courtyard,B50,18.026,"+0.460 [-0.152,+1.605]","-0.0062 [-0.0108,-0.0023]",courtyard_B50_ft_v4,e2r_courtyard_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)","B6R on SS3DM (b6r, GOAL#014 DONE-FAIL)",ss3dm_town01,B50,22.607,"-0.027 [-0.095,+0.030]","-0.0012 [-0.0017,-0.0008]",ss3dm_town01_B50_geo_v1,b6r_ss3dm_town01_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)","B6R on SS3DM (b6r, GOAL#014 DONE-FAIL)",ss3dm_town02,B50,22.702,"+0.032 [-0.021,+0.077]","-0.0030 [-0.0038,-0.0023]",ss3dm_town02_B50_geo_v1,b6r_ss3dm_town02_B50_v1
"geometry mechanism (E2 family, all FAIL/bounded)","B6R on SS3DM (b6r, GOAL#014 DONE-FAIL)",ss3dm_town03,B50,23.298,"+0.019 [-0.005,+0.042]","-0.0008 [-0.0012,-0.0005]",ss3dm_town03_B50_geo_v1,b6r_ss3dm_town03_B50_v1
